StudentID,Name,Age,Gender,Grade,Enrollment Date
1,John,20,Male,B,2021-06-01
2,,19,Female,A,2021-07-15
3,Alice,NaN,,C,2021-08-20
4,Bob,21,Male,,2021-09-10
5,Nancy,22,Female,B,
6,NaN,20,Female,A,2021-05-11
7,Leo,,Male,D,2021-10-01
8,Rita,19,,B,2021-06-30
9,,23,Female,,2021-07-07
10,David,NaN,Male,B,NaN
11,Sara,22,Female,C,2021-08-15
12,Chris,24,,D,2021-05-25
13,,20,Male,B,2021-04-01
14,Ava,19,Female,,2021-06-05
15,Luke,,Male,A,
16,Noah,21,Male,B,2021-06-17
17,Emma,22,Female,,2021-08-21
18,,NaN,Female,C,2021-07-10
19,Oliver,20,,D,2021-07-30
20,Grace,21,Female,C,NaN
21,Harry,23,Male,B,2021-06-02
22,NaN,24,Male,A,2021-08-09
23,Ella,19,Female,D,2021-07-16
24,Ethan,,Male,,2021-05-30
25,Mia,NaN,Female,B,2021-08-22
26,Liam,20,,A,2021-07-01
27,,21,Male,B,
28,Zoe,22,Female,C,2021-06-12
29,Logan,23,,D,2021-07-20
30,Anna,NaN,Female,,2021-09-05
31,Elijah,24,Male,C,NaN
32,Sophie,20,,A,2021-08-08
33,Jack,21,Male,,2021-10-03
34,Chloe,22,Female,B,
35,Daniel,NaN,Male,C,2021-05-15
36,Lily,,Female,D,2021-06-11
37,NaN,23,Male,A,2021-07-03
38,Oscar,24,,B,2021-08-17
39,NaN,21,Female,C,2021-06-06
40,Charlie,22,,D,
41,Emily,NaN,Female,A,2021-07-12
42,George,20,Male,B,2021-08-13
43,Sienna,,Female,C,2021-09-01
44,Ben,23,Male,D,2021-07-28
45,Eva,22,Female,B,2021-06-09
46,Freddie,NaN,,A,2021-08-19
47,Mila,21,Female,,2021-07-19
48,Leo,20,Male,C,
49,NaN,24,Female,B,2021-09-12
50,Isla,NaN,,D,2021-06-14
51,Aaron,23,Male,,2021-05-08
52,Daisy,19,Female,C,NaN
53,Thomas,NaN,Male,B,2021-07-06
54,Ruby,20,Female,D,2021-08-28
55,Archie,21,Male,C,2021-09-10
56,Holly,,Female,,2021-07-22
57,NaN,24,Male,A,2021-06-01
58,Poppy,22,,C,2021-08-15
59,James,NaN,Male,D,
60,Lola,23,Female,B,2021-05-17
61,Adam,20,,A,2021-06-29
62,NaN,21,Female,,2021-08-26
63,Lucy,NaN,Female,B,2021-07-11
64,Joseph,23,Male,C,
65,NaN,22,Female,D,2021-06-04
66,Mason,21,,B,2021-08-02
67,Ellie,NaN,Female,A,2021-09-03
68,Max,24,Male,,2021-06-07
69,Nina,20,,C,2021-07-05
70,Jayden,23,Male,D,
71,NaN,NaN,Female,B,2021-08-01
72,Lara,21,Female,C,2021-06-10
73,Harrison,NaN,Male,A,2021-09-20
74,Skye,22,Female,B,2021-07-25
75,Toby,24,,D,2021-05-13
76,Georgia,20,Female,,2021-08-03
77,Caleb,,Male,C,NaN
78,NaN,21,Female,B,2021-07-02
79,Summer,NaN,Female,A,2021-06-18
80,Tyler,22,Male,C,
81,Morgan,24,Male,,2021-08-29
82,NaN,23,Female,D,2021-05-26
83,Aaliyah,NaN,,B,2021-07-13
84,Reuben,20,Male,C,2021-06-15
85,Faith,,Female,A,2021-08-04
86,NaN,24,Male,B,
87,Imogen,23,Female,,2021-07-21
88,Harvey,21,Male,D,2021-09-02
89,Nicole,NaN,,C,2021-08-12
90,Stanley,22,Male,B,NaN
91,NaN,20,Female,A,2021-06-25
92,Lexi,NaN,Female,C,2021-07-29
93,Nathan,24,Male,D,2021-08-05
94,Naomi,21,,B,2021-06-28
95,Alex,NaN,Male,A,2021-07-23
96,Amber,23,Female,,2021-09-04
97,Callum,22,Male,B,
98,Heidi,21,Female,C,2021-07-18
99,Brandon,NaN,Male,D,2021-08-06
100,Hannah,20,,B,2021-06-16
